Site,Adult.Seedling,Elevation.code,Species,Individual.code,Lat.DD,Long.DD,Collection.date,Collection.day,Elevation,Soil.temp.1,Soil.temp.2,Soil.temp.3,Soil.temp.mean,Soil.temp.SD,Soil.mois.1,Soil.mois.2,Soil.mois.3,Soil.mois.mean,Soil.mois.SD,No.leaves,No.cot,Height.cm,Height.mm,Width.mm,Stem.volume.mm3,Stem.volume.cm3,Stem.thick.per.height,L.time,L.temp,L.light,QPSII,D.time,D.temp,D.light,D.FvFm,Canopy.open.per,LAI.4.ring,SPAD.1,SPAD.2,SPAD.3,SPAD.mean,SPAD.SD,Leaf.thick.1.mm,Leaf.thick.2.mm,Leaf.thick.3.mm,Leaf.thick.mean.mm,Leaf.thick.SD,Leaf.mass.fresh.g,Leaf.mass.FAA.g,Leaf.mass.dry.g,Leaf.area,Comp.Y.N.,Comp.seed.same.sp,Comp.seed.diff.sp,Comp.seed.total,Comp.adult.total,Comp.adult.metric,Comp.adult.log.metric,Height.leaf.ratio
TU8,Seedling,Bottom,CR,234,-13.07013889,-71.55563889,03/08/2015,12,1872,16.6,16.7,17.2,16.83333333,0.321455,11.4,14.3,13.9,13.2,1.571623365,7,0,11,110,0.975,82.1281042,0.082128104,0.088636364,08:03:00,17,9,0.742857143,10:25:00,23.8,0,0.701527071,8.62,3.27,30.4,30.5,28.2,29.7,1.3,0.114,0.109,0.104,0.109,0.005,0.024,NA,NA,2.914,Y,0,59,59,4,12.58980887,1.100019137,0.636363636
TU8,Seedling,Bottom,SP,232,-13.07044444,-71.55597222,01/08/2015,10,1872,17.3,16.8,17.5,17.2,0.360555,18.6,16.9,18.9,18.13333333,1.078579312,6,0,17,170,2.249,675.3325983,0.675332598,0.132294118,11:56:00,18.6,11,0.779598309,13:15:00,19.7,0,0.802724796,6.04,3.32,32.9,31.9,32.2,32.33333333,0.513160144,0.203,0.218,0.204,0.208333333,0.008386497,0.081,0.075,0.02,21.767,N,NA,NA,NA,NA,NA,NA,0.352941176
TU8,Seedling,Bottom,HG,236,-13.07013889,-71.55563889,02/08/2015,11,1872,16.9,17.2,17.7,17.26666667,0.404145,17.7,10.4,13.3,13.8,3.67559519,7,0,14,140,1.893,394.0207969,0.394020797,0.135214286,08:10:00,17.3,11,0.745022124,10:23:00,23.7,0,0.731822972,8.64,3.29,22.1,24.7,23.4,23.4,1.3,0.191,0.213,0.252,0.218666667,0.030892286,NA,0.109,NA,7.428,Y,0,49,49,4,13.09730208,1.117181844,0.5
TU8,Seedling,Middle,AV,235,-13.07013889,-71.55563889,02/08/2015,11,1872,16.1,16,15.6,15.9,0.264575,19.2,6.6,7.2,11,7.107742258,6,0,6,60,1.063,53.24853464,0.053248535,0.177166667,08:03:00,16.7,9,0.773631841,10:24:00,22.4,0,0.781355932,8.62,3.27,37.1,37.5,35.5,36.7,1.058300524,0.288,0.282,0.28,0.283333333,0.004163332,0.05,0.033,0.001,3.948,Y,0,62,62,5,15.125173,1.179700351,1
TU8,Seedling,Bottom,CR,261,-13.07013889,-71.55586111,03/08/2015,12,1881,16.9,17.3,17.4,17.2,0.264575,31.3,21.7,18,23.66666667,6.864643715,15,1,35,350,2.208,1340.158187,1.340158187,0.063085714,16:50:00,19.6,0,0.742559524,17:50:00,20,0,0.62400906,1.32,5.54,30.2,30.8,24.4,28.46666667,3.534590971,0.101,0.102,0.103,0.102,0.001,0.059,0.04,0.033,16.288,N,NA,NA,NA,NA,NA,NA,0.428571429
TU8,Seedling,Bottom,CR,264,-13.07013889,-71.55586111,03/08/2015,12,1881,16.5,15,17,16.16666667,1.040833,20,15,12.5,15.83333333,3.818813079,3,0,17,170,1.417,268.0886966,0.268088697,0.083352941,16:56:00,20.1,0,0.476094615,17:49:00,19.6,0,0.767106843,1.32,5.54,27.9,25.8,26.1,26.6,1.135781669,0.12,0.091,0.093,0.101333333,0.016196707,NA,0.041,NA,8.638,N,NA,NA,NA,NA,NA,NA,0.176470588
TU8,Seedling,Bottom,CR,262,-13.07013889,-71.55586111,03/08/2015,12,1881,17.6,17.3,17.3,17.4,0.173205,24,16.5,15.1,18.53333333,4.785742715,12,1,17,170,1.505,302.4209008,0.302420901,0.088529412,16:50:00,19.5,0,0.800551471,17:48:00,18.4,0,0.796208531,1.32,5.54,32.4,29.8,NA,31.1,1.838477631,0.219,0.214,0.173,0.202,0.025238859,0.043,0.141,0.026,9.851,Y,3,37,40,3,24.6480809,1.391783111,0.705882353
TU8,Seedling,Bottom,CR,263,-13.07013889,-71.55586111,03/08/2015,12,1881,17.1,17.4,17,17.16666667,0.208167,40,37,28.5,35.16666667,5.965176723,9,1,17,170,1.625,352.5701443,0.352570144,0.095588235,16:55:00,19.9,0,0.78622449,17:47:00,19.5,0,0.926102503,1.32,5.54,37.6,34.4,34.5,35.5,1.81934054,0.142,0.126,0.13,0.132666667,0.008326664,0.054,NA,0.038,8.976,N,NA,NA,NA,NA,NA,NA,0.529411765
TU8,Seedling,Middle,AV,255,-13.07047222,-71.55608333,02/08/2015,11,1881,20.8,18.1,17.9,18.93333333,1.619671,2.1,3.1,1.1,2.1,1,17,0,74,740,2.955,5075.006134,5.075006134,0.039932432,12:40:00,21.7,9,0.74702381,14:55:00,24.4,0,0.851837218,2.26,5.32,31.8,31.6,31.1,31.5,0.360555128,0.193,0.205,0.197,0.198333333,0.006110101,0.063,0.057,0.022,7.397,Y,0,18,18,4,37.45485084,1.573508072,0.22972973
TU8,Seedling,Bottom,SP,230,-13.07066667,-71.55652778,01/08/2015,10,1883,16.2,16.3,16.6,16.36666667,0.208167,8.8,17.2,8.7,11.56666667,4.878865988,3,1,15,150,2.137,538.0097978,0.538009798,0.142466667,11:40:00,17.5,13,0.835507657,13:13:00,18.7,0,0.786466165,6.84,3.08,31.2,27.9,30.1,29.73333333,1.680277755,0.197,0.193,0.213,0.201,0.010583005,0.091,0.078,0.022,7.601,N,NA,NA,NA,NA,NA,NA,0.2
